model,best_params,cv_f1_macro,val_accuracy,val_balanced_accuracy,val_f1_macro,val_f1_weighted,val_precision_macro,val_recall_macro,val_mcc,val_cohen_kappa
logreg,{'C': 3.0},0.7219503379666734,0.8617536309844002,0.7797905485960749,0.7198652214673796,0.8742360659537521,0.6867179267208067,0.7797905485960749,0.6799811850945239,0.6693318383594045
linear_svc,{'C': 0.3},0.7398397817281289,0.898870360408822,0.7692082457672327,0.7523812198140988,0.8999582340921105,0.7381802725060846,0.7692082457672327,0.7381264526325232,0.7365123959807984
random_forest,"{'max_depth': None, 'min_samples_leaf': 2}",0.7244593220908379,0.8792361484669177,0.7610237588986312,0.7258246162712485,0.8827700586433815,0.7011848740414607,0.7610237588986312,0.7064566281999861,0.6996261570248454
lightgbm,"{'learning_rate': 0.05, 'num_leaves': 31}",0.7259205129910703,0.8808499193114577,0.7707479418584898,0.7294845784704539,0.8877275989982559,0.7001219619791462,0.7707479418584898,0.7108381313610259,0.7047219948924758
